x y s dx dy
784.6 1135.57 0 -0.020792 -0.999784
785.56 1135.55 0.960297 -0.020802 -0.999784
786.52 1135.53 1.92059 -0.020822 -0.999783
787.48 1135.51 2.88089 -0.0208521 -0.999783
788.44 1135.49 3.84119 -0.0208922 -0.999782
789.401 1135.47 4.80149 -0.0209423 -0.999781
790.361 1135.45 5.76179 -0.0210025 -0.999779
791.321 1135.43 6.72209 -0.0210727 -0.999778
792.281 1135.41 7.68239 -0.0211424 -0.999776
793.241 1135.39 8.64269 -0.0211716 -0.999776
794.201 1135.37 9.60299 -0.0211507 -0.999776
795.161 1135.35 10.5633 -0.0210797 -0.999778
796.121 1135.33 11.5236 -0.0209585 -0.99978
797.081 1135.31 12.4839 -0.0207872 -0.999784
798.041 1135.29 13.4442 -0.0205658 -0.999789
799.001 1135.27 14.4045 -0.0202942 -0.999794
799.962 1135.25 15.3648 -0.0200162 -0.9998
800.922 1135.23 16.3251 -0.0198919 -0.999802
801.882 1135.21 17.2854 -0.0199581 -0.999801
802.842 1135.19 18.2456 -0.0202148 -0.999796
803.802 1135.17 19.2059 -0.0206619 -0.999787
804.762 1135.15 20.1662 -0.0212996 -0.999773
805.722 1135.13 21.1265 -0.0221276 -0.999755
806.682 1135.11 22.0868 -0.0231461 -0.999732
807.642 1135.09 23.0472 -0.0241845 -0.999708
808.602 1135.07 24.0075 -0.0246428 -0.999696
809.562 1135.04 24.9679 -0.0243896 -0.999703
810.522 1135.02 25.9282 -0.0234246 -0.999726
811.482 1135 26.8885 -0.0217478 -0.999763
812.443 1134.98 27.8488 -0.0193591 -0.999813
813.403 1134.96 28.8091 -0.0162582 -0.999868
814.363 1134.94 29.7694 -0.0124452 -0.999923
815.323 1134.93 30.7296 -0.00820633 -0.999966
816.283 1134.92 31.6899 -0.00450657 -0.99999
817.243 1134.92 32.6502 -0.0015491 -0.999999
818.204 1134.92 33.6105 0.000666104 -1
819.164 1134.92 34.5708 0.00213909 -0.999998
820.124 1134.92 35.5311 0.00286992 -0.999996
821.085 1134.92 36.4914 0.00285865 -0.999996
822.045 1134.92 37.4518 0.00211607 -0.999998
823.005 1134.93 38.4121 0.00103619 -0.999999
823.966 1134.93 39.3724 0.000116594 -1
824.926 1134.93 40.3327 -0.000610869 -1
825.886 1134.93 41.293 -0.00114619 -0.999999
826.847 1134.93 42.2533 -0.00148935 -0.999999
827.807 1134.92 43.2136 -0.00164036 -0.999999
828.767 1134.92 44.1739 -0.00159921 -0.999999
829.727 1134.92 45.1342 -0.00138216 -0.999999
830.688 1134.92 46.0945 -0.00112425 -0.999999
831.648 1134.92 47.0548 -0.000892324 -1
832.608 1134.92 48.0151 -0.000686855 -1
833.569 1134.92 48.9754 -0.000507844 -1
834.529 1134.92 49.9357 -0.000355292 -1
835.489 1134.92 50.896 -0.000229198 -1
836.45 1134.92 51.8563 -0.000129578 -1
837.41 1134.92 52.8166 -7.02981e-05 -1
838.37 1134.92 53.7769 -9.04873e-05 -1
839.33 1134.92 54.7372 -0.000196998 -1
840.291 1134.92 55.6975 -0.000389831 -1
841.251 1134.92 56.6578 -0.000668987 -1
842.211 1134.91 57.6181 -0.00103446 -0.999999
843.172 1134.91 58.5784 -0.00148626 -0.999999
844.132 1134.91 59.5387 -0.00202128 -0.999998
845.092 1134.91 60.499 -0.00255733 -0.999997
846.053 1134.91 61.4593 -0.00300582 -0.999995
847.013 1134.9 62.4196 -0.00336234 -0.999994
847.973 1134.9 63.3799 -0.00362691 -0.999993
848.933 1134.9 64.3402 -0.00379951 -0.999993
849.894 1134.89 65.3005 -0.00388015 -0.999992
850.854 1134.89 66.2608 -0.00386883 -0.999993
851.814 1134.89 67.2211 -0.00376868 -0.999993
852.775 1134.88 68.1814 -0.00363576 -0.999993
853.735 1134.88 69.1417 -0.00351854 -0.999994
854.695 1134.88 70.102 -0.0034186 -0.999994
855.655 1134.87 71.0623 -0.00333595 -0.999994
856.616 1134.87 72.0226 -0.00327059 -0.999995
857.576 1134.87 72.9829 -0.00322252 -0.999995
858.536 1134.86 73.9431 -0.00319173 -0.999995
859.497 1134.86 74.9034 -0.00317848 -0.999995
860.457 1134.86 75.8637 -0.00318585 -0.999995
861.417 1134.85 76.824 -0.00321599 -0.999995
862.378 1134.85 77.7843 -0.00326893 -0.999995
863.338 1134.85 78.7446 -0.00334469 -0.999994
864.298 1134.85 79.7049 -0.00344326 -0.999994
865.258 1134.84 80.6652 -0.00356463 -0.999994
866.219 1134.84 81.6255 -0.00370882 -0.999993
867.179 1134.83 82.5858 -0.00386746 -0.999993
868.139 1134.83 83.5461 -0.00396155 -0.999992
869.1 1134.83 84.5064 -0.00394756 -0.999992
870.06 1134.82 85.4667 -0.00382505 -0.999993
871.02 1134.82 86.427 -0.003594 -0.999994
871.98 1134.82 87.3873 -0.00325443 -0.999995
872.941 1134.81 88.3476 -0.00280633 -0.999996
873.901 1134.81 89.3079 -0.00224971 -0.999997
874.861 1134.81 90.2682 -0.00160438 -0.999999
875.822 1134.81 91.2285 -0.0010122 -0.999999
876.782 1134.81 92.1887 -0.000534972 -1
877.742 1134.81 93.149 -0.000172952 -1
878.702 1134.81 94.1093 7.38643e-05 -1
879.663 1134.81 95.0696 0.000205477 -1
880.623 1134.81 96.0299 0.000221886 -1
881.583 1134.81 96.9902 0.000123093 -1
882.544 1134.81 97.9505 -6.7737e-05 -1
883.504 1134.81 98.9108 -0.000238859 -1
884.464 1134.81 99.8712 -0.000356625 -1
885.425 1134.81 100.831 -0.000421028 -1
886.385 1134.8 101.792 -0.000432067 -1
887.345 1134.8 102.752 -0.000389742 -1
888.305 1134.8 103.712 -0.000294053 -1
889.266 1134.8 104.673 -0.000145007 -1
890.226 1134.8 105.633 2.68704e-05 -1
891.186 1134.8 106.593 0.000121127 -1
892.147 1134.8 107.554 0.000117131 -1
893.107 1134.8 108.514 1.48829e-05 -1
894.067 1134.8 109.474 -0.000185617 -1
895.027 1134.8 110.434 -0.000484366 -1
895.988 1134.8 111.395 -0.000881363 -1
896.948 1134.8 112.355 -0.00137608 -0.999999
897.908 1134.8 113.315 -0.0018467 -0.999998
898.869 1134.8 114.276 -0.00201605 -0.999998
899.829 1134.8 115.236 -0.00184577 -0.999998
900.789 1134.8 116.196 -0.00133586 -0.999999
901.75 1134.79 117.157 -0.000486311 -1
902.71 1134.79 118.117 0.000702893 -1
903.67 1134.79 119.077 0.00223177 -0.999998
